>>> 24: Естественных и гуманитарных наук (Филиал ВГИ)
6222: ФСм-141
6105: ЮГПЗм-141
6104: ЮГПм-141
4903: Юзм-111
5512: ЮЗс-131
5988: ЮЗс-141
5513: ЮЗу-131
5514: ЮЗу-132
5989: ЮЗу-141
4345: ЮЗ-101
5145: ЮЗ-121
5511: ЮЗ-131
5986: ЮЗ-141
5987: ЮЗ-142
6101: ЮКПЗм-141
6100: ЮКПм-141
6103: ЮПДЗм-141
6102: ЮПДм-141
5087: Ю-121
5088: Ю-122
5089: Ю-123
5090: Ю-124
5091: Ю-125
5092: Ю-126
5505: Ю-131
5506: Ю-132
5507: Ю-133
5508: Ю-134
5509: Ю-135
5510: Ю-136
5979: Ю-141
5980: Ю-142
5981: Ю-143
5982: Ю-144
5983: Ю-145
5984: Ю-146
>>> 8: Мировой экономики и финансов (ВолГУ)
6389: БУЗ-101
4354: НОЗ-101
4355: ФКЗ-101
6390: ФКЗ-102
6541: ФКЗ-103
5952: ФКмгмф-141
6203: ФКмз-141
5951: ФКмкф-141
6386: ЭБЗс-122
5807: ЭБЗс-131
6201: ЭБЗс-141
6341: ЭБЗу-111
6381: ЭБЗу-112
5806: ЭБЗу-131
6200: ЭБЗу-141
6380: ЭБЗ-112
6340: ЭБЗ-113
5225: ЭБЗ-121
6384: ЭБЗ-122
6385: ЭБЗ-123
6581: ЭБЗ-124
5805: ЭБЗ-131
6387: ЭБЗ-132
6202: ЭБЗ-141
6240: Эбу-121
5948: ЭБ-141
5949: ЭБ-142
5950: ЭБ-143
6388: Эмзбд-131
6204: Эмз-141
6163: Эмммаэ-141
6162: Эмтп-141
6160: Эмуаа-141
6161: Эмэсп-141
6243: Эмэ-121
6242: Эно-121
6244: Эп-121
6524: Эп-131
6461: Эуф-121
6241: Эфк-121
6521: Эфк-131
6522: Эфк-132
6523: Эфк-133
5945: Э-141
5946: Э-142
5947: Э-143
